"","X.1","X","pid","lat","lon","Altitude","UTMTime","PhotoTime","PhotoLocation","bearing","ID","Done","vegType","SqID","AnimalTrack"
"3601",3601,4073,9,-14.743596,126.16568,324.1,"2016-06-17 00:43:45","2016-06-17 08:43:45","2016-06-17\08\43\2016-06-17--08-43-45.016.jpg",265.61816082058,3601,TRUE,"Savanna",1,FALSE
"3601.1",3601,4073,9,-14.743596,126.16568,324.1,"2016-06-17 00:43:45","2016-06-17 08:43:45","2016-06-17\08\43\2016-06-17--08-43-45.016.jpg",265.61816082058,3601,TRUE,"Savanna",2,FALSE
"3601.2",3601,4073,9,-14.743596,126.16568,324.1,"2016-06-17 00:43:45","2016-06-17 08:43:45","2016-06-17\08\43\2016-06-17--08-43-45.016.jpg",265.61816082058,3601,TRUE,"Savanna",3,TRUE
"3601.3",3601,4073,9,-14.743596,126.16568,324.1,"2016-06-17 00:43:45","2016-06-17 08:43:45","2016-06-17\08\43\2016-06-17--08-43-45.016.jpg",265.61816082058,3601,TRUE,"Savanna",4,TRUE
"3601.4",3601,4073,9,-14.743596,126.16568,324.1,"2016-06-17 00:43:45","2016-06-17 08:43:45","2016-06-17\08\43\2016-06-17--08-43-45.016.jpg",265.61816082058,3601,TRUE,"Savanna",5,FALSE
"3601.5",3601,4073,9,-14.743596,126.16568,324.1,"2016-06-17 00:43:45","2016-06-17 08:43:45","2016-06-17\08\43\2016-06-17--08-43-45.016.jpg",265.61816082058,3601,TRUE,"Savanna",6,FALSE
"293",293,351,13,-14.556923,125.700432,74.19,"2016-06-16 23:34:50","2016-06-17 07:34:50","2016-06-17\07\34\2016-06-17--07-34-50.634.jpg",92.8772520870084,293,TRUE,"Sandstone",1,FALSE
"293.1",293,351,13,-14.556923,125.700432,74.19,"2016-06-16 23:34:50","2016-06-17 07:34:50","2016-06-17\07\34\2016-06-17--07-34-50.634.jpg",92.8772520870084,293,TRUE,"Sandstone",2,FALSE
"293.2",293,351,13,-14.556923,125.700432,74.19,"2016-06-16 23:34:50","2016-06-17 07:34:50","2016-06-17\07\34\2016-06-17--07-34-50.634.jpg",92.8772520870084,293,TRUE,"Sandstone",3,FALSE
"293.3",293,351,13,-14.556923,125.700432,74.19,"2016-06-16 23:34:50","2016-06-17 07:34:50","2016-06-17\07\34\2016-06-17--07-34-50.634.jpg",92.8772520870084,293,TRUE,"Sandstone",4,TRUE
"293.4",293,351,13,-14.556923,125.700432,74.19,"2016-06-16 23:34:50","2016-06-17 07:34:50","2016-06-17\07\34\2016-06-17--07-34-50.634.jpg",92.8772520870084,293,TRUE,"Sandstone",5,FALSE
"293.5",293,351,13,-14.556923,125.700432,74.19,"2016-06-16 23:34:50","2016-06-17 07:34:50","2016-06-17\07\34\2016-06-17--07-34-50.634.jpg",92.8772520870084,293,TRUE,"Sandstone",6,FALSE
"4446",4446,5023,44,-14.812943,125.659561,276.4,"2016-06-17 01:01:21","2016-06-17 09:01:21","2016-06-17\09\01\2016-06-17--09-01-21.666.jpg",158.604560064355,4446,TRUE,"Water",1,FALSE
"4446.1",4446,5023,44,-14.812943,125.659561,276.4,"2016-06-17 01:01:21","2016-06-17 09:01:21","2016-06-17\09\01\2016-06-17--09-01-21.666.jpg",158.604560064355,4446,TRUE,"Water",2,FALSE
"4446.2",4446,5023,44,-14.812943,125.659561,276.4,"2016-06-17 01:01:21","2016-06-17 09:01:21","2016-06-17\09\01\2016-06-17--09-01-21.666.jpg",158.604560064355,4446,TRUE,"Water",3,TRUE
"4446.3",4446,5023,44,-14.812943,125.659561,276.4,"2016-06-17 01:01:21","2016-06-17 09:01:21","2016-06-17\09\01\2016-06-17--09-01-21.666.jpg",158.604560064355,4446,TRUE,"Water",4,FALSE
"4446.4",4446,5023,44,-14.812943,125.659561,276.4,"2016-06-17 01:01:21","2016-06-17 09:01:21","2016-06-17\09\01\2016-06-17--09-01-21.666.jpg",158.604560064355,4446,TRUE,"Water",5,TRUE
"4446.5",4446,5023,44,-14.812943,125.659561,276.4,"2016-06-17 01:01:21","2016-06-17 09:01:21","2016-06-17\09\01\2016-06-17--09-01-21.666.jpg",158.604560064355,4446,TRUE,"Water",6,FALSE
"255",255,308,26,-14.547308,125.678932,57.2,"2016-06-16 23:34:02","2016-06-17 07:34:02","2016-06-17\07\34\2016-06-17--07-34-02.857.jpg",156.067175464504,255,TRUE,"Sandstone",1,FALSE
"255.1",255,308,26,-14.547308,125.678932,57.2,"2016-06-16 23:34:02","2016-06-17 07:34:02","2016-06-17\07\34\2016-06-17--07-34-02.857.jpg",156.067175464504,255,TRUE,"Sandstone",2,FALSE
"255.2",255,308,26,-14.547308,125.678932,57.2,"2016-06-16 23:34:02","2016-06-17 07:34:02","2016-06-17\07\34\2016-06-17--07-34-02.857.jpg",156.067175464504,255,TRUE,"Sandstone",3,TRUE
"255.3",255,308,26,-14.547308,125.678932,57.2,"2016-06-16 23:34:02","2016-06-17 07:34:02","2016-06-17\07\34\2016-06-17--07-34-02.857.jpg",156.067175464504,255,TRUE,"Sandstone",4,FALSE
"255.4",255,308,26,-14.547308,125.678932,57.2,"2016-06-16 23:34:02","2016-06-17 07:34:02","2016-06-17\07\34\2016-06-17--07-34-02.857.jpg",156.067175464504,255,TRUE,"Sandstone",5,TRUE
"255.5",255,308,26,-14.547308,125.678932,57.2,"2016-06-16 23:34:02","2016-06-17 07:34:02","2016-06-17\07\34\2016-06-17--07-34-02.857.jpg",156.067175464504,255,TRUE,"Sandstone",6,FALSE
